"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"05-JAN-2024","INFIBEAM","Infibeam Avenues Limited","ABHISHEK MAYUR DESAI","SELL","45,00,000","22.80","-"
"05-JAN-2024","INFIBEAM","Infibeam Avenues Limited","SONAL DESAI","BUY","45,00,000","22.80","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","ALBULA INVESTMENT FUND LTD","SELL","30,24,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","ASHIBHADARSH VENTURES PRIVATE LIMITED","BUY","2,50,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","BANDHAN MUTUAL FUND ( CORE EQUITY FUND)","BUY","3,50,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","BANDHAN MUTUAL FUND(INFRASTRUCTURE FUND)","BUY","75,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","BNP PARIBAS ARBITRAGE","BUY","4,99,900","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","RAJTARU ENTERPRISES","BUY","2,01,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","RESONANCE OPPORTUNITIES FUND","BUY","2,01,100","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","SAMCO MUTUAL FUND(SAMCO DYNAMIC ASSET ALLOCATION FUND)","BUY","2,07,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","SOCIETE GENERALE","BUY","8,19,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","TWENTYFIRST CENTURY MANAGEMENT SERVICES LTD","BUY","2,20,000","519.90","-"
"05-JAN-2024","SWANENERGY","Swan Energy Limited","VICTUS ENTERPRISE LLP","BUY","2,01,000","519.90","-"
"12-JAN-2023","BAJAJFINSV","Bajaj Finserv Limited","BAJAJ SEVASHRAM PRIVATE LIMITED","BUY","4,27,000","1,395.00","-"
"12-JAN-2023","BAJAJFINSV","Bajaj Finserv Limited","RISHAB FAMILY TRUST","SELL","4,27,000","1,395.00","-"
"17-JAN-2023","BAJAJFINSV","Bajaj Finserv Limited","MADHUR SECURITIES PRIVATE LIMITED","BUY","1,45,000","1,380.00","-"
"17-JAN-2023","BAJAJFINSV","Bajaj Finserv Limited","RAHUL SECURITIES PVT LTD","BUY","2,55,000","1,380.00","-"
"17-JAN-2023","BAJAJFINSV","Bajaj Finserv Limited","RISHAB FAMILY TRUST","SELL","4,00,000","1,380.00","-"
"31-JAN-2023","JTLIND","JTL INDUSTRIES LIMITED","MOHINDER PAL","SELL","5,00,000","325.00","-"
"31-JAN-2023","JTLIND","JTL INDUSTRIES LIMITED","SINGLA ASHOK","BUY","5,00,000","325.00","-"
"01-FEB-2023","AUBANK","AU Small Finance Bank Ltd","MOTILAL OSWAL FINANCIAL SERVICES LIMITED","BUY","32,81,796","612.50","-"
"01-FEB-2023","AUBANK","AU Small Finance Bank Ltd","MOTILAL OSWAL FINVEST LIMITED","SELL","32,81,796","612.50","-"
"13-FEB-2023","DLF","DLF Limited","INVESCO GLOBAL FUND","BUY","34,36,281","361.50","-"
"13-FEB-2023","DLF","DLF Limited","INVESCO GLOBAL GROWTH FUND","SELL","34,36,281","361.50","-"
"14-FEB-2023","BAJAJ-AUTO","Bajaj Auto Limited","ABHAYKUMAR NAVALMAL FIRODIA","SELL","66,000","3,905.00","-"
"14-FEB-2023","BAJAJ-AUTO","Bajaj Auto Limited","JAYA HIND INDUSTRIES LIMITED","BUY","66,000","3,905.00","-"
"15-FEB-2023","BAJAJFINSV","Bajaj Finserv Limited","BAJAJ SEVASHRAM PRIVATE LIMITED","BUY","74,000","1,414.00","-"
"15-FEB-2023","BAJAJFINSV","Bajaj Finserv Limited","RISHAB FAMILY TRUST","SELL","4,64,000","1,414.00","-"
"15-FEB-2023","BAJAJFINSV","Bajaj Finserv Limited","RUPA EQUITIES PRIVATE LIMITED","BUY","2,48,000","1,414.00","-"
"15-FEB-2023","BAJAJFINSV","Bajaj Finserv Limited","SHEKHAR HOLDINGS PVT LTD","BUY","1,42,000","1,414.00","-"
"17-FEB-2023","PRICOLLTD","Pricol Limited","AAKARSHAN ESTATES PRIVATE LIMITED","SELL","13,01,990","209.00","-"
"17-FEB-2023","PRICOLLTD","Pricol Limited","ANTARA INDIA EVERGREEN FUND LTD","SELL","11,55,015","209.00","-"
"17-FEB-2023","PRICOLLTD","Pricol Limited","JAINCO FINLEASE & INVESTMENT PRIVATE LIMITED","SELL","7,25,390","209.00","-"
"17-FEB-2023","PRICOLLTD","Pricol Limited","M2K ENTERTAINMENT PRIVATE LIMITED","SELL","10,85,990","209.00","-"
"17-FEB-2023","PRICOLLTD","Pricol Limited","MINDA CORPORATION LIMITED","BUY","78,57,744","209.00","-"
"17-FEB-2023","PRICOLLTD","Pricol Limited","RADHEY BUILDHOME PRIVATE LIMITED","SELL","7,20,000","209.00","-"
"17-FEB-2023","PRICOLLTD","Pricol Limited","STREAM VALUE FUND","SELL","16,92,492","209.00","-"
"17-FEB-2023","PRICOLLTD","Pricol Limited","UNIQUE FINMAN CONSULTANCY PRIVATE LIMITED","SELL","6,19,871","209.00","-"
"17-FEB-2023","PRICOLLTD","Pricol Limited","VIRTUE FINANCE LIMITED","SELL","5,56,996","209.00","-"
"01-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","BAJAJ SEVASHRAM PRIVATE LIMITED","BUY","5,58,000","1,350.00","-"
"01-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","HERCULES HOISTS LIMITED","BUY","1,85,000","1,350.00","-"
"01-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","RAJIVNAYAN BAJAJ","SELL","1,25,750","1,350.00","-"
"01-MAR-2023","BAJAJFINSV","Bajaj Finserv Limited","RISHAB FAMILY TRUST","SELL","6,17,250","1,350.00","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","ACTIVE EMERGING MARKETS EQUITY FUND","BUY","11,13,801","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","AUSTRALIANSUPER","BUY","15,51,504","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","BBH GQG PARTNERS EMERGING MARKETS EQUITY MASTER FUND LP","BUY","11,91,995","504.60","-"
"02-MAR-2023","ADANIGREEN","Adani Green Energy Ltd","CARE SUPER PTY LTD AS TRUSTEE FOR CARE SUPER","BUY","2,66,849","504.60","-"
